"Data","Histórico","Valor",
"02/02/2026","Pix - Enviado","25,00 D",
"02/02/2026","Recarga de Celular TIM","20,00 D",
"02/02/2026","Recarga de Celular TIM","20,00 D",
"02/02/2026","Compra Eletron","15,00 D",
"03/02/2026","Recarga de Celular TIM","20,00 D",
"04/02/2026","Pix - Recebido","763,58 C",
"06/02/2026","Pix - Enviado","31,00 D",
"06/02/2026","Pix - Enviado","31,00 D",
"06/02/2026","Pix-Envio devolvido","31,00 C",
"06/02/2026","TED Mesma Titularidade","908,05 C",
"09/02/2026","Pix - Enviado","700,00 D",
"09/02/2026","Pix - Enviado","104,58 D",
"09/02/2026","Compra Eletron","57,80 D",
"09/02/2026","Pix - Recebido","12,00 C",
"09/02/2026","Pix - Enviado","32,99 D",
"09/02/2026","Pix - Enviado","28,50 D",
"09/02/2026","Pix - Enviado","23,99 D",
"10/02/2026","Compra Eletron","83,80 D",
"10/02/2026","Compra Eletron","75,04 D",
"10/02/2026","Pix - Enviado","1.000,00 D",
"10/02/2026","Pix - Enviado","300,00 D",
"11/02/2026","Pix - Enviado","100,00 D",
"12/02/2026","Compra Eletron","13,18 D",
"18/02/2026","Compra Eletron","50,71 D",
"18/02/2026","Compra Eletron","49,90 D",
"18/02/2026","Compra Eletron","38,16 D",
"18/02/2026","Compra Eletron","17,00 D",
"18/02/2026","Compra Eletron","13,00 D",
"18/02/2026","Compra Eletron","11,08 D",
"18/02/2026","Compra Eletron","4,00 D",
"19/02/2026","Compra Eletron","350,00 D",
"20/02/2026","Pix - Enviado","595,10 D",
"20/02/2026","Pix - Enviado","265,00 D",
"20/02/2026","Compra Eletron","46,74 D",
"20/02/2026","Compra Eletron","8,99 D",
"20/02/2026","Pix - Enviado","45,00 D",
"20/02/2026","TED Mesma Titularidade","916,26 C",
"23/02/2026","Pix - Enviado","126,33 D",
"23/02/2026","Compra Eletron","71,51 D",
"23/02/2026","Compra Eletron","31,59 D",
"23/02/2026","Compra Eletron","24,52 D",
"23/02/2026","Pix - Recebido","10,00 C",
"24/02/2026","Compra Eletron","350,00 D",
"24/02/2026","Compra Eletron","18,59 D",
"24/02/2026","Compra Eletron","13,68 D",
"25/02/2026","Reajuste Monetário - BACEN","12,64 C",
"25/02/2026","Juros","36,87 C",
"25/02/2026","Recarga de Celular TIM","20,00 D",
"26/02/2026","Pagamento Impostos","177,65 D",
"27/02/2026","Compra Eletron","15,00 D",
