date,title,amount
2026-03-26,Uber - NuPay,-18.39
2026-03-25,Uber - NuPay,18.39
2026-03-25,Uber - NuPay,17.10
2026-03-25,Uber - NuPay,16.82
2026-03-25,Uber - NuPay,11.98
2026-03-25,Uber - NuPay,17.68
2026-03-25,Uber - NuPay,14.92
2026-03-25,Uber - NuPay,16.88
2026-03-23,Uber - NuPay,16.55
2026-03-23,Uber - NuPay,16.13
2026-03-23,Uber - NuPay,13.28
2026-03-23,Uber - NuPay,1.00
2026-03-21,Uber - NuPay,11.50
2026-03-20,Uber - NuPay,12.68
2026-03-18,Uber - NuPay,16.58
2026-03-18,Uber - NuPay,14.30
2026-03-17,Uber - NuPay,13.48
2026-03-13,Uber - NuPay,13.20
2026-03-13,Ebn *Spotify,12.90
2026-03-12,Pagamento recebido,-268.37
2026-03-12,Uber - NuPay,15.18
